frame,joint_16_x,joint_16_y,joint_16_z,joint_14_x,joint_14_y,joint_14_z,joint_12_x,joint_12_y,joint_12_z,joint_11_x,joint_11_y,joint_11_z,joint_13_x,joint_13_y,joint_13_z,joint_15_x,joint_15_y,joint_15_z,joint_24_x,joint_24_y,joint_24_z,joint_23_x,joint_23_y,joint_23_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z
32,0.381995,-0.342529,3.405265,0.470965,-0.482991,3.347304,0.479885,-0.685658,3.349163,0.801039,-0.607168,3.610614,1.012706,-0.335165,3.569147,0.864741,-0.178652,3.584988,0.501943,-0.152328,3.481245,0.703478,-0.042912,3.552113,0.403071,0.225165,3.464237,0.212139,0.074621,3.433046,0.413780,0.422407,3.226393,0.216553,0.202787,3.337132
33,0.387854,-0.342724,3.402747,0.465741,-0.483391,3.352463,0.480923,-0.681690,3.350814,0.805883,-0.599341,3.608420,1.008049,-0.345965,3.570890,0.865776,-0.178218,3.584255,0.500707,-0.144815,3.480777,0.703578,-0.035627,3.550058,0.406999,0.249581,3.445995,0.219132,0.049681,3.447687,0.405656,0.366571,3.301494,0.226062,0.180922,3.357169
34,0.387404,-0.340770,3.401979,0.477140,-0.464224,3.351492,0.493393,-0.655938,3.355792,0.804120,-0.598898,3.605530,1.007499,-0.354469,3.570513,0.869980,-0.175990,3.582097,0.510531,-0.135844,3.479815,0.707891,-0.032821,3.550110,0.392620,0.238672,3.455248,0.221106,0.016100,3.466224,0.380305,0.365119,3.287342,0.200831,0.206300,3.332021
35,0.384428,-0.341041,3.404325,0.477195,-0.468869,3.357790,0.483025,-0.681604,3.349844,0.810891,-0.605760,3.604494,1.012788,-0.344958,3.570006,0.868519,-0.181952,3.584472,0.501842,-0.142217,3.480265,0.708093,-0.036542,3.551833,0.422684,0.252488,3.447961,0.222809,0.072380,3.431954,0.369631,0.333213,3.326652,0.220388,0.190546,3.354596
36,0.388258,-0.346953,3.402335,0.477031,-0.465282,3.349293,0.488704,-0.673187,3.354654,0.808657,-0.604022,3.605918,1.006590,-0.354397,3.572299,0.864776,-0.186354,3.585075,0.507804,-0.136322,3.478824,0.713401,-0.033131,3.546477,0.411463,0.247396,3.449016,0.225871,0.092796,3.428091,0.395894,0.372972,3.287536,0.241799,0.206175,3.336717
37,0.389650,-0.340918,3.411732,0.472185,-0.485311,3.356181,0.483434,-0.685365,3.348905,0.805630,-0.607491,3.607757,1.010951,-0.339901,3.569394,0.873417,-0.179050,3.582067,0.511827,-0.150668,3.480631,0.709261,-0.041936,3.554073,0.429937,0.251132,3.451366,0.226504,0.065262,3.432945,0.382999,0.318152,3.357372,0.238102,0.186069,3.358797
38,0.391175,-0.343468,3.405978,0.473370,-0.476927,3.349546,0.482293,-0.671859,3.353640,0.808888,-0.608595,3.606701,1.013204,-0.356582,3.574603,0.868822,-0.185244,3.585306,0.514379,-0.140098,3.479018,0.718622,-0.033345,3.546692,0.425416,0.252411,3.445611,0.214026,0.037927,3.464041,0.398214,0.351316,3.309452,0.208187,0.179677,3.357887
39,0.385867,-0.350123,3.402987,0.466878,-0.473864,3.348073,0.482060,-0.677475,3.351143,0.806400,-0.605802,3.609198,1.017224,-0.336764,3.566331,0.869128,-0.181255,3.584003,0.501865,-0.145917,3.480447,0.706833,-0.035793,3.549657,0.427313,0.260387,3.440939,0.226203,0.080948,3.427807,0.414114,0.384714,3.298253,0.264393,0.239699,3.335902
40,0.384986,-0.342632,3.406045,0.471966,-0.476007,3.351284,0.479114,-0.683339,3.349048,0.809121,-0.602059,3.608663,1.017523,-0.329959,3.564953,0.871553,-0.179049,3.583065,0.503658,-0.147998,3.479987,0.705987,-0.036869,3.551850,0.416011,0.246971,3.448443,0.225145,0.072732,3.431383,0.370634,0.346483,3.320390,0.212245,0.165697,3.376514
41,0.387602,-0.343710,3.406806,0.466342,-0.487219,3.350590,0.479546,-0.690827,3.347067,0.807437,-0.608994,3.611204,1.016283,-0.336694,3.568639,0.874079,-0.177506,3.582347,0.506938,-0.152449,3.481324,0.709691,-0.041779,3.550979,0.407860,0.247727,3.450491,0.220110,0.049066,3.445046,0.392722,0.361427,3.307854,0.227424,0.199033,3.336578
