frame,joint_16_x,joint_16_y,joint_16_z,joint_14_x,joint_14_y,joint_14_z,joint_12_x,joint_12_y,joint_12_z,joint_11_x,joint_11_y,joint_11_z,joint_13_x,joint_13_y,joint_13_z,joint_15_x,joint_15_y,joint_15_z,joint_24_x,joint_24_y,joint_24_z,joint_23_x,joint_23_y,joint_23_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z
25,0.036253,0.042316,1.415650,0.064291,-0.059532,1.560485,0.071683,-0.179518,1.777567,0.314725,-0.182194,2.129321,0.321021,-0.025196,1.787223,0.175868,0.085861,1.198938,0.066910,0.139728,1.083803,0.081753,0.122525,0.728697,0.051463,0.117630,0.550591,0.015269,0.223226,1.114100,0.034223,0.148475,0.718882,0.015979,0.249672,1.130009
26,0.037431,0.042021,1.414421,0.068310,-0.055372,1.554170,0.074000,-0.180119,1.775975,0.313070,-0.176740,2.120562,0.317794,-0.020822,1.771349,0.180624,0.083963,1.232656,0.066767,0.134624,1.096147,0.080705,0.124026,0.748171,0.045678,0.120550,0.567311,0.013321,0.219864,1.109007,0.022087,0.289790,1.417828,0.002054,0.265645,1.283745
27,0.038534,0.043957,1.410333,0.065276,-0.060938,1.565478,0.076533,-0.187470,1.787051,0.310370,-0.172188,2.106408,0.307549,-0.009670,1.727178,0.178607,0.083692,1.235170,0.064023,0.136485,1.101497,0.079904,0.125827,0.752374,0.047402,0.127235,0.616753,0.009301,0.223219,1.132970,0.033780,0.185614,0.917528,0.008909,0.227365,1.134282
28,0.036552,0.049051,1.402071,0.064390,-0.050591,1.548720,0.073651,-0.177195,1.772974,0.318998,-0.180699,2.142467,0.320474,-0.020484,1.766954,0.182856,0.081133,1.256588,0.063707,0.141125,1.083298,0.082345,0.122964,0.728719,0.047395,0.123239,0.587758,0.007058,0.226309,1.128118,0.046348,0.118019,0.546688,0.023555,0.217718,0.951404
29,0.038264,0.044170,1.409941,0.065834,-0.056066,1.555307,0.072994,-0.175450,1.770429,0.312569,-0.176558,2.120401,0.319708,-0.020217,1.786579,0.183451,0.081342,1.271027,0.064207,0.140294,1.083114,0.081095,0.124484,0.734374,0.048582,0.120731,0.580293,0.006105,0.228577,1.160933,0.042548,0.136660,0.682622,0.018451,0.211580,1.072170
30,0.037781,0.047792,1.402354,0.061433,-0.052745,1.551622,0.069797,-0.174123,1.766961,0.314725,-0.178145,2.118356,0.322408,-0.023986,1.794557,0.186631,0.078588,1.285178,0.062037,0.141650,1.086444,0.080639,0.126185,0.741044,0.049559,0.112650,0.546178,0.008919,0.226232,1.132715,0.055364,0.168712,0.792352,0.019069,0.235638,1.117474
31,0.035012,0.049579,1.401965,0.059144,-0.055894,1.558053,0.071533,-0.176396,1.770231,0.312785,-0.178095,2.112927,0.324978,-0.026950,1.814695,0.184519,0.079683,1.272261,0.063251,0.140798,1.086852,0.081560,0.124150,0.741885,0.050374,0.117096,0.569754,0.002222,0.247789,1.251212,0.058264,0.164739,0.727296,0.033744,0.238513,1.082910
32,0.032743,0.050111,1.402976,0.060523,-0.060862,1.565255,0.069437,-0.178555,1.773838,0.313875,-0.176139,2.115378,0.322411,-0.028159,1.805738,0.185482,0.078523,1.269956,0.063401,0.141111,1.086270,0.080491,0.123910,0.730416,0.050057,0.118435,0.569107,0.009720,0.230356,1.113689,0.053005,0.125380,0.591523,0.027835,0.223770,1.024390
33,0.035525,0.051124,1.398412,0.060469,-0.057209,1.560529,0.069273,-0.178413,1.775091,0.320680,-0.175611,2.131884,0.314803,-0.021213,1.765334,0.180325,0.079013,1.247978,0.060915,0.140011,1.098260,0.080100,0.125261,0.742277,0.054166,0.124203,0.605553,0.011152,0.227141,1.105787,0.052425,0.115062,0.534748,0.034462,0.205529,0.942266
34,0.037059,0.051783,1.396623,0.064492,-0.051473,1.547268,0.070920,-0.175496,1.770465,0.319353,-0.175598,2.137764,0.324901,-0.021856,1.805507,0.180994,0.082424,1.253918,0.058320,0.141886,1.097488,0.079226,0.124731,0.745099,0.050554,0.115945,0.553598,0.010516,0.231462,1.124025,0.061026,0.170396,0.819305,0.031910,0.218036,1.039519
